id,Sex,Age,AgeGroup,PassengerClass,Survived
0,male,22,1,3,Died
1,female,38,1,1,Survived
2,female,26,1,3,Survived
3,female,35,1,1,Survived
4,male,35,1,3,Died
6,male,54,2,1,Died
7,male,2,0,3,Died
8,female,27,1,3,Survived
9,female,14,0,2,Survived
10,female,4,0,3,Survived
11,female,58,2,1,Survived
12,male,20,0,3,Died
13,male,39,1,3,Died
14,female,14,0,3,Died
15,female,55,2,2,Survived
16,male,2,0,3,Died
18,female,31,1,3,Died
20,male,35,1,2,Died
21,male,34,1,2,Survived
22,female,15,0,3,Survived
23,male,28,1,1,Survived
24,female,8,0,3,Died
25,female,38,1,3,Survived
27,male,19,0,1,Died
30,male,40,1,1,Died
33,male,66,3,2,Died
34,male,28,1,1,Died
35,male,42,2,1,Died
37,male,21,1,3,Died
38,female,18,0,3,Died
39,female,14,0,3,Survived
40,female,40,1,3,Died
41,female,27,1,2,Died
43,female,3,0,2,Survived
44,female,19,0,3,Survived
49,female,18,0,3,Died
50,male,7,0,3,Died
51,male,21,1,3,Died
52,female,49,2,1,Survived
53,female,29,1,2,Survived
54,male,65,3,1,Died
56,female,21,1,2,Survived
57,male,28,1,3,Died
58,female,5,0,2,Survived
59,male,11,0,3,Died
60,male,22,1,3,Died
61,female,38,1,1,Survived
62,male,45,2,1,Died
63,male,4,0,3,Died
66,female,29,1,2,Survived
67,male,19,0,3,Died
68,female,17,0,3,Survived
69,male,26,1,3,Died
70,male,32,1,2,Died
71,female,16,0,3,Died
72,male,21,1,2,Died
73,male,26,1,3,Died
74,male,32,1,3,Survived
75,male,25,1,3,Died
78,male,0,0,2,Survived
79,female,30,1,3,Survived
80,male,22,1,3,Died
81,male,29,1,3,Survived
83,male,28,1,1,Died
84,female,17,0,2,Survived
85,female,33,1,3,Survived
86,male,16,0,3,Died
88,female,23,1,1,Survived
89,male,24,1,3,Died
90,male,29,1,3,Died
91,male,20,0,3,Died
92,male,46,2,1,Died
93,male,26,1,3,Died
94,male,59,2,3,Died
96,male,71,3,1,Died
97,male,23,1,1,Survived
98,female,34,1,2,Survived
99,male,34,1,2,Died
100,female,28,1,3,Died
102,male,21,1,1,Died
103,male,33,1,3,Died
104,male,37,1,3,Died
105,male,28,1,3,Died
106,female,21,1,3,Survived
108,male,38,1,3,Died
