id,Sex,Age,AgeGroup,PassengerClass,Survived
0,0,22,1,3,0
1,1,38,1,1,1
2,1,26,1,3,1
3,1,35,1,1,1
4,0,35,1,3,0
6,0,54,2,1,0
7,0,2,0,3,0
8,1,27,1,3,1
9,1,14,0,2,1
'10,1,4,0,3,1'
'11,1,58,2,1,1'
'12,0,20,0,3,0'
'13,0,39,1,3,0'
'14,1,14,0,3,0'
'15,1,55,2,2,1'
'16,0,2,0,3,0'
'18,1,31,1,3,0'
'20,0,35,1,2,0'
'21,0,34,1,2,1'
'22,1,15,0,3,1'
'23,0,28,1,1,1'
'24,1,8,0,3,0'
'25,1,38,1,3,1'
'27,0,19,0,1,0'
'30,0,40,1,1,0'
'33,0,66,3,2,0'
'34,0,28,1,1,0'
'35,0,42,2,1,0'
'37,0,21,1,3,0'
'38,1,18,0,3,0'
'39,1,14,0,3,1'
'40,1,40,1,3,0'
'41,1,27,1,2,0'
'43,1,3,0,2,1'
'44,1,19,0,3,1'
'49,1,18,0,3,0'
'50,0,7,0,3,0'
'51,0,21,1,3,0'
'52,1,49,2,1,1'
'53,1,29,1,2,1'
'54,0,65,3,1,0'
'56,1,21,1,2,1'
'57,0,28,1,3,0'
'58,1,5,0,2,1'
'59,0,11,0,3,0'
'60,0,22,1,3,0'
'61,1,38,1,1,1'
'62,0,45,2,1,0'
'63,0,4,0,3,0'
'66,1,29,1,2,1'
'67,0,19,0,3,0'
'68,1,17,0,3,1'
'69,0,26,1,3,0'
'70,0,32,1,2,0'
'71,1,16,0,3,0'
'72,0,21,1,2,0'
'73,0,26,1,3,0'
'74,0,32,1,3,1'
'75,0,25,1,3,0'
'78,0,0,0,2,1'
'79,1,30,1,3,1'
'80,0,22,1,3,0'
'81,0,29,1,3,1'
'83,0,28,1,1,0'
'84,1,17,0,2,1'
'85,1,33,1,3,1'
'86,0,16,0,3,0'
'88,1,23,1,1,1'
'89,0,24,1,3,0'
'90,0,29,1,3,0'
'91,0,20,0,3,0'
'92,0,46,2,1,0'
'93,0,26,1,3,0'
'94,0,59,2,3,0'
'96,0,71,3,1,0'
'97,0,23,1,1,1'
'98,1,34,1,2,1'
'99,0,34,1,2,0'
'100,1,28,1,3,0'
'102,0,21,1,1,0'
'103,0,33,1,3,0'
'104,0,37,1,3,0'
'105,0,28,1,3,0'
'106,1,21,1,3,1'
'108,0,38,1,3,0'
'110,0,47,2,1,0'
'111,1,14,0,3,0'
'112,0,22,1,3,0'
'113,1,20,0,3,0'
'114,1,17,0,3,0'
'115,0,21,1,3,0'
'116,0,70,3,3,0'
'117,0,29,1,2,0'
'118,0,24,1,1,0'
'119,1,2,0,3,0'
'120,0,21,1,2,0'
'122,0,32,1,2,0'
'123,1,32,1,2,1'
'124,0,54,2,1,0'
'125,0,12,0,3,1'
'127,0,24,1,3,1'
'129,0,45,2,3,0'
'130,0,33,1,3,0'
'131,0,20,0,3,0'
'132,1,47,2,3,0'
'133,1,29,1,2,1'
'134,0,25,1,2,0'
'135,0,23,1,2,0'
'136,1,19,0,1,1'
'137,0,37,1,1,0'
'138,0,16,0,3,0'
'139,0,24,1,1,0'
'141,1,22,1,3,1'
'142,1,24,1,3,1'
'143,0,19,0,3,0'
'144,0,18,0,2,0'
'145,0,19,0,2,0'
'146,0,27,1,3,1'
'147,1,9,0,3,0'
'148,0,36,1,2,0'
'149,0,42,2,2,0'
'150,0,51,2,2,0'
'151,1,22,1,1,1'
'152,0,55,2,3,0'
'153,0,40,2,3,0'
'155,0,51,2,1,0'
'156,1,16,0,3,1'
'157,0,30,1,3,0'
'160,0,44,2,3,0'
'161,1,40,1,2,1'
'162,0,26,1,3,0'
'163,0,17,0,3,0'
'164,0,1,0,3,0'
'165,0,9,0,3,1'
'167,1,45,2,3,0'
'169,0,28,1,3,0'
'170,0,61,3,1,0'
'171,0,4,0,3,0'
'172,1,1,0,3,1'
'173,0,21,1,3,0'
'174,0,56,2,1,0'
'175,0,18,0,3,0'
'177,1,50,2,1,0'
'178,0,30,1,2,0'
'179,0,36,1,3,0'
'182,0,9,0,3,0'
'183,0,1,0,2,1'
'184,1,4,0,3,1'
'187,0,45,2,1,1'
'188,0,40,1,3,0'
'189,0,36,1,3,0'
'190,1,32,1,2,1'
'191,0,19,0,2,0'
'192,1,19,0,3,1'
'193,0,3,0,2,1'
'194,1,44,2,1,1'
'195,1,58,2,1,1'
'197,0,42,2,3,0'
'199,1,24,1,2,0'
'200,0,28,1,3,0'
'202,0,34,1,3,0'
'203,0,45,2,3,0'
'204,0,18,0,3,1'
'205,1,2,0,3,0'
'206,0,32,1,3,0'
'207,0,26,1,3,1'
'208,1,16,0,3,1'
'209,0,40,1,1,1'
'210,0,24,1,3,0'
'211,1,35,1,2,1'
'212,0,22,1,3,0'
'213,0,30,1,2,0'
'215,1,31,1,1,1'
'216,1,27,1,3,1'
'217,0,42,2,2,0'
'218,1,32,1,1,1'
'219,0,30,1,2,0'
'220,0,16,0,3,1'
'221,0,27,1,2,0'
'222,0,51,2,3,0'
'224,0,38,1,1,1'
'225,0,22,1,3,0'
'226,0,19,0,2,1'
'227,0,20,1,3,0'
'228,0,18,0,2,0'
'230,1,35,1,1,1'
'231,0,29,1,3,0'
'232,0,59,2,2,0'
'233,1,5,0,3,1'
'234,0,24,1,2,0'
'236,0,44,2,2,0'
'237,1,8,0,2,1'
'238,0,19,0,2,0'
'239,0,33,1,2,0'
'242,0,29,1,2,0'
'243,0,22,1,3,0'
'244,0,30,1,3,0'
'245,0,44,2,1,0'
'246,1,25,1,3,0'
'247,1,24,1,2,1'
'248,0,37,1,1,1'
'249,0,54,2,2,0'
'251,1,29,1,3,0'
'252,0,62,3,1,0'
'253,0,30,1,3,0'
'254,1,41,2,3,0'
'255,1,29,1,3,1'
'257,1,30,1,1,1'
'258,1,35,1,1,1'
'259,1,50,2,2,1'
'261,0,3,0,3,1'
'262,0,52,2,1,0'
'263,0,40,1,1,0'
'265,0,36,1,2,0'
'266,0,16,0,3,0'
'267,0,25,1,3,1'
'268,1,58,2,1,1'
'269,1,35,1,1,1'
'271,0,25,1,3,1'
'272,1,41,2,2,1'
'273,0,37,1,1,0'
'275,1,63,3,1,1'
'276,1,45,2,3,0'
'278,0,7,0,3,0'
'279,1,35,1,3,1'
'280,0,65,3,3,0'
'281,0,28,1,3,0'
'282,0,16,0,3,0'
'283,0,19,0,3,1'
'285,0,33,1,3,0'
'286,0,30,1,3,1'
'287,0,22,1,3,0'
'288,0,42,2,2,1'
'289,1,22,1,3,1'
'290,1,26,1,1,1'
'291,1,19,0,1,1'
'292,0,36,1,2,0'
'293,1,24,1,3,0'
'294,0,24,1,3,0'
'296,0,23,1,3,0'
'297,1,2,0,1,0'
'299,1,50,2,1,1'
'302,0,19,0,3,0'
'305,0,0,0,1,1'
'307,1,17,0,1,1'
'308,0,30,1,2,0'
'309,1,30,1,1,1'
'310,1,24,1,1,1'
'311,1,18,0,1,1'
'312,1,26,1,2,0'
'313,0,28,1,3,0'
'314,0,43,2,2,0'
'315,1,26,1,3,1'
'316,1,24,1,2,1'
'317,0,54,2,2,0'
'318,1,31,1,1,1'
'319,1,40,1,1,1'
'320,0,22,1,3,0'
'321,0,27,1,3,0'
'322,1,30,1,2,1'
'323,1,22,1,2,1'
'325,1,36,1,1,1'
'326,0,61,3,3,0'
'327,1,36,1,2,1'
'328,1,31,1,3,1'
'329,1,16,0,1,1'
'331,0,45,2,1,0'
'332,0,38,1,1,0'
'333,0,16,0,3,0'
'336,0,29,1,1,0'
'337,1,41,2,1,1'
'338,0,45,2,3,1'
'339,0,45,2,1,0'
'340,0,2,0,2,1'
'341,1,24,1,1,1'
'342,0,28,1,2,0'
'343,0,25,1,2,0'
'344,0,36,1,2,0'
'345,1,24,1,2,1'
'346,1,40,1,2,1'
'348,0,3,0,3,1'
'349,0,42,2,3,0'
'350,0,23,1,3,0'
'352,0,15,0,3,0'
'353,0,25,1,3,0'
'355,0,28,1,3,0'
